Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location
 , , , , , , , ,F,09:00 am-09:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21785,ECS,140A,001,M,4.000,Programming Languages,TR,10:30 am-11:50 am,195,0,195,999,0,999,0,0,0,Aditya V. Thakur (P),01/08-03/15,TBA
 , , , , , , , ,T,12:10 pm-01:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21786,ECS,150,001,M,4.000,Operating Systems,MWF,12:10 pm-01:00 pm,198,0,198,999,0,999,0,0,0,Joel Porquet (P),01/08-03/15,TBA
 , , , , , , , ,F,11:00 am-11:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,44817,ECS,152A,A01,M,4.000,Computer Networks,TR,01:30 pm-02:50 pm,56,0,56,999,0,999,0,0,0,Chen-Nee Chuah (P),01/08-03/15,TBA
 , , , , , , , ,W,08:00 am-08:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,44818,ECS,152A,A02,M,4.000,Computer Networks,TR,01:30 pm-02:50 pm,56,0,56,999,0,999,0,0,0,Chen-Nee Chuah (P),01/08-03/15,TBA
 , , , , , , , ,F,03:10 pm-04:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,44819,ECS,152A,A03,M,4.000,Computer Networks,TR,01:30 pm-02:50 pm,56,0,56,999,0,999,0,0,0,Chen-Nee Chuah (P),01/08-03/15,TBA
 , , , , , , , ,F,12:10 pm-01:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21790,ECS,154A,001,M,4.000,Computer Architecture,TR,01:40 pm-03:00 pm,190,0,190,999,0,999,0,0,0,Matthew K. Farrens (P),01/08-03/15,TBA
 , , , , , , , ,W,04:10 pm-05:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21791,ECS,154B,001,M,4.000,Computer Architecture,MWF,03:10 pm-04:00 pm,75,0,75,999,0,999,0,0,0,Jason G. Lowe-Power (P),01/08-03/15,TBA
 , , , , , , , ,T,03:10 pm-04:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21792,ECS,160,001,M,4.000,Software Engineering,MWF,09:00 am-09:50 am,95,0,95,999,0,999,0,0,0,Daryl P. Posnett (P),01/08-03/15,TBA
 , , , , , , , ,F,10:00 am-10:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,44620,ECS,163,001,M,4.000,Information Interfaces,MWF,03:10 pm-04:00 pm,75,0,75,999,0,999,0,0,0,TBA,01/08-03/15,TBA
 , , , , , , , ,T,06:10 pm-07:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21793,ECS,164,001,M,4.000,Human-Computer Inter,TR,12:10 pm-01:30 pm,150,0,150,999,0,999,0,0,0,Hao-Chuan Wang (P),01/08-03/15,TBA
 , , , , , , , ,R,06:10 pm-07:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21794,ECS,165A,A01,M,4.000,Database Systems,M,01:10 pm-02:00 pm,50,0,50,999,0,999,0,0,0,TBA,01/08-03/15,TBA
 , , , , , , , ,TR,10:30 am-11:50 am, , , , , , , , , ,Mohammad Sadoghi Hamedani (P),01/08-03/15,TBA
NR,21795,ECS,165A,A02,M,4.000,Database Systems,TR,10:30 am-11:50 am,50,0,50,999,0,999,0,0,0,Mohammad Sadoghi Hamedani (P),01/08-03/15,TBA
 , , , , , , , ,W,04:10 pm-05:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21796,ECS,165A,A03,M,4.000,Database Systems,TR,10:30 am-11:50 am,50,0,50,999,0,999,0,0,0,Mohammad Sadoghi Hamedani (P),01/08-03/15,TBA
 , , , , , , , ,R,08:00 am-08:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21797,ECS,170,001,M,4.000,Artificial Intelligence,MWF,02:10 pm-03:00 pm,150,0,150,999,0,999,0,0,0,Ian N. Davidson (P),01/08-03/15,TBA
 , , , , , , , ,F,04:10 pm-05:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21798,ECS,188,001,M,4.000,Ethics in an Age of Tech,MWF,01:10 pm-02:00 pm,30,0,30,0,0,0,0,0,0,Kurt P. Eiselt (P),01/08-03/15,TBA
 , , , , , , , ,M,02:10 pm-03:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21799,ECS,188,002,M,4.000,Ethics in an Age of Tech,MWF,04:10 pm-05:00 pm,30,0,30,999,0,999,0,0,0,Muhammad Zubair Shafiq (P),01/08-03/15,TBA
 , , , , , , , ,W,05:10 pm-06:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21800,ECS,189A,001,M,1.000-5.000,Computer Science Theory,MWF,10:00 am-10:50 am,75,0,75,999,0,999,0,0,0,Isaac H. Kim (P),01/08-03/15,TBA
 , , , , , , , ,M,06:10 pm-07:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
